ratio,angle,angle_index,design,n,seed,paired_seed,identifiable,abstain_reason,rank,condition_number,minimum_singular_value,maximum_singular_value,hessian_relative_error,magnitude_relative_error,spectrum_l1_error,log_condition_error,pairwise_order_accuracy,tie_fraction,estimated_magnitude,estimated_major_spectrum_share
1,0.0,0,sobol,3,0,100000,0,insufficient_samples,3,3.7433605927688545,0.5048290407973117,1.889757137405957,,,,,,,,
1,0.0,0,sobol,3,1,100001,0,insufficient_samples,3,2.112377531477048,0.9167388877851106,1.9364986287885266,,,,,,,,
1,0.0,0,sobol,3,2,100002,0,insufficient_samples,3,4.975896843184343,0.412227362545429,2.051200831964008,,,,,,,,
1,0.0,0,sobol,3,3,100003,0,insufficient_samples,3,3.665573820950515,0.5047949089669075,1.8503630032581944,,,,,,,,
1,0.0,0,sobol,3,4,100004,0,insufficient_samples,3,2.4281938016762163,0.8231010619326224,1.9986488967379052,,,,,,,,
1,0.0,0,sobol,3,5,100005,0,insufficient_samples,3,4.263259354791831,0.4582428832335874,1.9536082587123722,,,,,,,,
1,0.0,0,sobol,3,6,100006,0,insufficient_samples,3,5.707237455569233,0.32455578583106864,1.8523169373167812,,,,,,,,
1,0.0,0,sobol,3,7,100007,0,insufficient_samples,3,3.7758428874116667,0.515660195596202,1.9470518818632283,,,,,,,,
1,0.0,0,sobol,3,8,100008,0,insufficient_samples,3,4.985575170670435,0.37110194559566645,1.850156645749245,,,,,,,,
1,0.0,0,sobol,3,9,100009,0,insufficient_samples,3,3.337880614144676,0.5942091696291792,1.983399268052243,,,,,,,,
1,0.0,0,sobol,3,10,100010,0,insufficient_samples,3,2.1735464801621993,0.8679523366030326,1.886534746172078,,,,,,,,
1,0.0,0,sobol,3,11,100011,0,insufficient_samples,3,3.3353811347366165,0.5383760150691963,1.7956892040564736,,,,,,,,
1,0.0,0,sobol,3,12,100012,0,insufficient_samples,3,2.5312003381382797,0.7195851698744377,1.8214142253054681,,,,,,,,
1,0.0,0,sobol,3,13,100013,0,insufficient_samples,3,1.6047263760562407,1.142507418400318,1.8334117891469137,,,,,,,,
1,0.0,0,sobol,3,14,100014,0,insufficient_samples,3,1.6663723818356468,1.113181228205795,1.8549744546600213,,,,,,,,
1,0.0,0,sobol,3,15,100015,0,insufficient_samples,3,4.0644134793307005,0.5113325853937098,2.0782670524952107,,,,,,,,
1,0.0,0,sobol,3,16,100016,0,insufficient_samples,3,5.255857927988761,0.3520754278804387,1.850458428875439,,,,,,,,
1,0.0,0,sobol,3,17,100017,0,insufficient_samples,3,4.738683991786728,0.455202579042382,2.1570611743281685,,,,,,,,
1,0.0,0,sobol,3,18,100018,0,insufficient_samples,3,3.025555444452987,0.6094398155068279,1.8438939518731072,,,,,,,,
1,0.0,0,sobol,3,19,100019,0,insufficient_samples,3,3.1851865503512413,0.6547973562101012,2.085651732205965,,,,,,,,
1,0.0,0,sobol,3,20,100020,0,insufficient_samples,3,3.037300691173041,0.6175223500089754,1.8756010604970617,,,,,,,,
1,0.0,0,sobol,3,21,100021,0,insufficient_samples,3,2.5076905067756075,0.7797201475204063,1.955296811878599,,,,,,,,
1,0.0,0,sobol,3,22,100022,0,insufficient_samples,3,3.6169591977857403,0.5107110916240255,1.847221180260715,,,,,,,,
1,0.0,0,sobol,3,23,100023,0,insufficient_samples,3,2.5587641525568885,0.8291641679126571,2.1216355494395676,,,,,,,,
1,0.0,0,sobol,3,24,100024,0,insufficient_samples,3,3.819921301417257,0.47444187304831037,1.8123306171415428,,,,,,,,
1,0.0,0,sobol,3,25,100025,0,insufficient_samples,3,10.84296224102188,0.17196036639505582,1.8645597597738781,,,,,,,,
1,0.0,0,sobol,3,26,100026,0,insufficient_samples,3,3.5339790735816368,0.5818246123580956,2.0561560045682574,,,,,,,,
1,0.0,0,sobol,3,27,100027,0,insufficient_samples,3,2.8607869596325997,0.6701045273828209,1.9170262935275404,,,,,,,,
1,0.0,0,sobol,3,28,100028,0,insufficient_samples,3,3.3325008054342273,0.5930577529453308,1.976365439359328,,,,,,,,
1,0.0,0,sobol,3,29,100029,0,insufficient_samples,3,3.0360547417314914,0.591995517135847,1.7973307968840746,,,,,,,,
1,0.0,0,sobol,3,30,100030,0,insufficient_samples,3,3.6960691465649504,0.5721899941227987,2.1148537832504566,,,,,,,,
1,0.0,0,sobol,3,31,100031,0,insufficient_samples,3,2.086015812341928,0.8842831381947404,1.8446286088615707,,,,,,,,
1,0.0,0,sobol,3,32,100032,0,insufficient_samples,3,6.783448850398589,0.27335119665058744,1.8542638606745059,,,,,,,,
1,0.0,0,sobol,3,33,100033,0,insufficient_samples,3,3.7422388442568173,0.5588537363478798,2.091364160419094,,,,,,,,
1,0.0,0,sobol,3,34,100034,0,insufficient_samples,3,11.686753101719479,0.1537881001209296,1.7972835560958198,,,,,,,,
1,0.0,0,sobol,3,35,100035,0,insufficient_samples,3,2.0796625080545,0.9088824450621692,1.8901687452246974,,,,,,,,
1,0.0,0,sobol,3,36,100036,0,insufficient_samples,3,3.3618861015219133,0.5985257317123348,2.012175338846932,,,,,,,,
1,0.0,0,sobol,3,37,100037,0,insufficient_samples,3,1.7878803288454996,1.000208133557363,1.7882524467384815,,,,,,,,
1,0.0,0,sobol,3,38,100038,0,insufficient_samples,3,2.6392857505404947,0.7079513874307332,1.8684860089213071,,,,,,,,
1,0.0,0,sobol,3,39,100039,0,insufficient_samples,3,4.920381053597674,0.3668999034755859,1.805287333628088,,,,,,,,
1,0.0,0,sobol,3,40,100040,0,insufficient_samples,3,5.078526097959075,0.38304885815895423,1.945323622953673,,,,,,,,
1,0.0,0,sobol,3,41,100041,0,insufficient_samples,3,2.092258301911935,0.9121336902192544,1.9084192858148041,,,,,,,,
1,0.0,0,sobol,3,42,100042,0,insufficient_samples,3,1.5093463336303643,1.198092680352268,1.8083367944390718,,,,,,,,
1,0.0,0,sobol,3,43,100043,0,insufficient_samples,3,2.289173840236338,0.7990425067458099,1.8291472036793757,,,,,,,,
1,0.0,0,sobol,3,44,100044,0,insufficient_samples,3,3.0012875034184927,0.6258382731004972,1.878320588217532,,,,,,,,
1,0.0,0,sobol,3,45,100045,0,insufficient_samples,3,1.9768819350165796,0.938433522319885,1.8551722774881587,,,,,,,,
1,0.0,0,sobol,3,46,100046,0,insufficient_samples,3,4.246268079921929,0.5003908263177111,2.124793593278655,,,,,,,,
1,0.0,0,sobol,3,47,100047,0,insufficient_samples,3,1.7429165885316156,1.0953924067460565,1.9091775966692728,,,,,,,,
1,0.0,0,sobol,3,48,100048,0,insufficient_samples,3,4.663179238561545,0.41833140230114135,1.9507543100490197,,,,,,,,
1,0.0,0,sobol,3,49,100049,0,insufficient_samples,3,11.24904553466234,0.17093336677900353,1.9228372262901496,,,,,,,,
1,0.0,0,sobol,5,0,100000,0,insufficient_samples,5,59.04724320181858,0.03965278243409113,2.3413874880145786,,,,,,,,
1,0.0,0,sobol,5,1,100001,0,insufficient_samples,5,14.894576048908878,0.15763967031013934,2.3479760577592934,,,,,,,,
1,0.0,0,sobol,5,2,100002,0,insufficient_samples,5,9.746276284196485,0.24835181602210038,2.4205054146333254,,,,,,,,
1,0.0,0,sobol,5,3,100003,0,insufficient_samples,5,22.185808465986316,0.10266095475651367,2.2776162791632992,,,,,,,,
1,0.0,0,sobol,5,4,100004,0,insufficient_samples,5,14.971792234130593,0.1572473389147028,2.354274487600849,,,,,,,,
1,0.0,0,sobol,5,5,100005,0,insufficient_samples,5,12.436867191394803,0.19520490489072992,2.427737477234862,,,,,,,,
1,0.0,0,sobol,5,6,100006,0,insufficient_samples,5,14.494143097185349,0.1694802115362726,2.4564704381479783,,,,,,,,
1,0.0,0,sobol,5,7,100007,0,insufficient_samples,5,9.894218138670453,0.2480504320575947,2.4542650841692963,,,,,,,,
1,0.0,0,sobol,5,8,100008,0,insufficient_samples,5,10.266230800327703,0.24172283394611527,2.4815824030001075,,,,,,,,
