ratio,angle_index,design,n,runs,identifiable_runs,identifiable_rate,condition_median,condition_p90,hessian_relative_error_median,hessian_relative_error_p90,hessian_relative_error_max,magnitude_relative_error_median,magnitude_relative_error_p90,magnitude_relative_error_max,spectrum_l1_error_median,spectrum_l1_error_p90,spectrum_l1_error_max,log_condition_error_median,log_condition_error_p90,log_condition_error_max,pairwise_order_accuracy_median,pairwise_order_accuracy_p90,pairwise_order_accuracy_max,tie_fraction_median,tie_fraction_p90,tie_fraction_max
1,0,sobol,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0,sobol,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0,sobol,6,50,50,1.0,35.100710811359434,253.60423250892055,1.4459465439979338e-15,3.770034872693527e-15,1.976321724055963e-14,6.2803698347351e-16,2.2138303667441232e-15,4.239249638446192e-15,7.771561172376096e-16,3.802513859341163e-15,1.9539925233402755e-14,1.554312234475218e-15,7.505107646466032e-15,3.9079850466804747e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,0,sobol,8,50,50,1.0,12.159681518722403,27.931273623308265,5.478237597265907e-16,1.7743327568689579e-15,9.529688534254171e-15,3.14018491736755e-16,7.850462293418875e-16,1.7271017045521525e-15,4.163336342344337e-16,1.321165399303937e-15,9.547918011776346e-15,8.881784197001248e-16,2.7533531010703855e-15,1.909583602355251e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,0,sobol,12,50,50,1.0,10.309838966759084,13.114760009976422,5.873248437173829e-16,1.2458969216900816e-15,6.20559057818123e-15,3.14018491736755e-16,9.42055475210265e-16,2.826166425630795e-15,3.885780586188048e-16,1.0602629885170254e-15,6.328271240363392e-15,7.771561172376093e-16,2.1316282072803e-15,1.2656542480726704e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,0,sobol,20,50,50,1.0,8.06211760291438,8.91872260481426,5.088961002770536e-16,9.698381939033766e-16,3.345554433094888e-15,3.14018491736755e-16,6.2803698347351e-16,2.51214793389404e-15,3.608224830031759e-16,8.49320613838245e-16,3.2751579226442118e-15,6.661338147750937e-16,1.5987211554602249e-15,6.661338147750917e-15,1.0,1.0,1.0,0.0,0.0,0.0
1,0,trajectory,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0,trajectory,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0,trajectory,6,50,50,1.0,151.71226807354003,862.7042748910684,2.705914698220405e-15,1.523030615433106e-14,1.551513936042828e-13,1.1775693440128313e-15,8.227284483502982e-15,7.677752122963659e-14,2.3869795029440866e-15,1.139088823265411e-14,1.34781075189494e-13,4.773959005888162e-15,2.278177646530796e-14,2.6956215037895166e-13,1.0,1.0,1.0,0.0,0.0,0.0
1,0,trajectory,8,50,50,1.0,59.977236629094875,181.65702856377706,1.5933178483231965e-15,3.221528471500968e-15,1.3227945702221388e-14,7.850462293418875e-16,1.946914648767882e-15,8.635508522760762e-15,1.0824674490095276e-15,3.042011087472931e-15,1.0047518372857667e-14,2.2204460492503107e-15,6.084022174945843e-15,2.0206059048177644e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,0,trajectory,12,50,50,1.0,45.25426024872442,97.87558186716365,9.828178575838015e-16,1.6184401016822298e-15,4.137852442286184e-15,3.14018491736755e-16,9.42055475210265e-16,2.198129442157285e-15,8.049116928532385e-16,1.4044321261508233e-15,4.3298697960381105e-15,1.554312234475218e-15,2.908784324517906e-15,8.659739592076183e-15,1.0,1.0,1.0,0.0,0.0,0.0
1,0,trajectory,20,50,50,1.0,37.123552857431335,86.84679185574034,7.963965969309127e-16,1.9453464383346947e-15,9.912675640594279e-15,3.14018491736755e-16,7.850462293418875e-16,2.3551386880256623e-15,6.661338147750939e-16,2.0150547896946594e-15,9.769962616701378e-15,1.332267629550187e-15,4.019007349143059e-15,1.9539925233402566e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,0,uniform,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0,uniform,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0,uniform,6,50,50,1.0,109.5785596562069,782.2398017090536,2.407422610121887e-15,1.1722258793348254e-14,4.7380743107297454e-14,1.1775693440128313e-15,5.055697716961756e-15,3.077381219020199e-14,1.887379141862766e-15,9.05386876581816e-15,3.624878175401136e-14,3.774758283725525e-15,1.80966353013899e-14,7.26085858104826e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,0,uniform,8,50,50,1.0,28.130349902734203,60.06107341488303,1.0320069711837494e-15,2.4004799706443798e-15,8.344094212888184e-15,4.710277376051325e-16,1.570092458683775e-15,2.0411201962889075e-15,6.661338147750939e-16,1.6875389974302383e-15,8.215650382226158e-15,1.332267629550187e-15,3.375077994860471e-15,1.643130076445218e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,0,uniform,12,50,50,1.0,15.834186538683923,23.21506183634249,7.035362970426086e-16,1.2285656081740804e-15,2.390408665702298e-15,3.14018491736755e-16,7.850462293418875e-16,1.4130832128153975e-15,3.608224830031759e-16,9.048317650695028e-16,2.4424906541753444e-15,6.661338147750937e-16,1.8207657603852558e-15,4.884981308350677e-15,1.0,1.0,1.0,0.0,0.0,0.0
1,0,uniform,20,50,50,1.0,10.544534645551188,13.246166664274801,7.046283268677405e-16,1.4707022249241571e-15,5.165893502716378e-15,4.710277376051325e-16,8.007471539287255e-16,2.51214793389404e-15,4.440892098500626e-16,1.0269562977782702e-15,4.9960036108132044e-15,8.881784197001248e-16,2.06501482580279e-15,9.992007221626358e-15,1.0,1.0,1.0,0.0,0.0,0.0
1,1,sobol,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1,sobol,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
