design,rho,beta_ratio,n,runs,projection_bias_median,finite_sample_error_median,total_center_error_median,total_center_error_p90
sobol,0.25,0.0,8,600,5.416973718779238e-16,2.0797607393691333e-15,1.967907413312014e-15,5.638905658577473e-15
sobol,0.25,0.0,12,600,5.416973718779238e-16,1.3031534049659394e-15,1.1185153114536254e-15,3.0009836539843225e-15
sobol,0.25,0.0,20,600,5.416973718779238e-16,1.3880870286185298e-15,1.2414222156182634e-15,5.6343411715113626e-15
sobol,0.25,0.05,8,600,0.005357142857142559,0.0012646966213692434,0.004879128439379569,0.005992761851076175
sobol,0.25,0.05,12,600,0.005357142857142559,0.0008863972103438745,0.005035706869759822,0.00546628538999473
sobol,0.25,0.05,20,600,0.005357142857142559,0.000548631005107051,0.005263134448633666,0.005586753465832567
sobol,0.25,0.2,8,600,0.02142857142857121,0.005058786485479083,0.019516513757517066,0.02397104740430223
sobol,0.25,0.2,12,600,0.02142857142857121,0.0035455888413794103,0.020142827479040337,0.02186514155997045
sobol,0.25,0.2,20,600,0.02142857142857121,0.0021945240204296786,0.02105253779453333,0.02234701386332744
sobol,0.25,0.5,8,600,0.053571428571428506,0.012646966213697604,0.04879128439379268,0.059927618510754746
sobol,0.25,0.5,12,600,0.053571428571428506,0.008863972103450652,0.05035706869760133,0.05466285389992445
sobol,0.25,0.5,20,600,0.053571428571428506,0.005486310051075792,0.05263134448633179,0.05586753465831711
sobol,0.5,0.0,8,600,7.487546418413058e-16,1.3159751984369108e-15,1.2018713089196768e-15,2.9936145104315374e-15
sobol,0.5,0.0,12,600,7.487546418413058e-16,1.1171395176104898e-15,8.088200875600673e-16,1.8618201292043272e-15
sobol,0.5,0.0,20,600,7.487546418413058e-16,9.806755613732246e-16,7.945696819330302e-16,1.75967251076258e-15
sobol,0.5,0.05,8,600,0.021428571428572178,0.005058786485479799,0.019516513757517173,0.023971047404302705
sobol,0.5,0.05,12,600,0.021428571428572178,0.0035455888413804836,0.020142827479039605,0.021865141559970044
sobol,0.5,0.05,20,600,0.021428571428572178,0.0021945240204307697,0.021052537794531943,0.02234701386332674
sobol,0.5,0.2,8,600,0.08571428571428638,0.02023514594191707,0.07806605503006711,0.09588418961720589
sobol,0.5,0.2,12,600,0.08571428571428638,0.014182355365522141,0.08057130991616196,0.08746056623987505
sobol,0.5,0.2,20,600,0.08571428571428638,0.008778096081721375,0.0842101511781288,0.0893880554533066
sobol,0.5,0.5,8,600,0.21428571428571536,0.050587864854792816,0.19516513757516707,0.23971047404301385
sobol,0.5,0.5,12,600,0.21428571428571536,0.03545588841380562,0.2014282747904063,0.2186514155996856
sobol,0.5,0.5,20,600,0.21428571428571536,0.02194524020430374,0.2105253779453226,0.2234701386332661
sobol,1.0,0.0,8,600,4.441501878493608e-16,1.100459653674335e-15,8.058105259947609e-16,1.8021978040816243e-15
sobol,1.0,0.0,12,600,4.441501878493608e-16,1.0351401397211742e-15,7.531966210703798e-16,1.5059674049471571e-15
sobol,1.0,0.0,20,600,4.441501878493608e-16,9.043245823029948e-16,6.707437923744491e-16,1.7770310463614542e-15
sobol,1.0,0.05,8,600,0.08571428571428609,0.020235145941918158,0.07806605503006661,0.09588418961720521
sobol,1.0,0.05,12,600,0.08571428571428609,0.01418235536552269,0.08057130991616288,0.08746056623987394
sobol,1.0,0.05,20,600,0.08571428571428609,0.008778096081721688,0.08421015117812879,0.08938805545330736
sobol,1.0,0.2,8,600,0.34285714285714364,0.08094058376766937,0.3122642201202668,0.38353675846881913
sobol,1.0,0.2,12,600,0.34285714285714364,0.05672942146208992,0.3222852396646513,0.3498422649594952
sobol,1.0,0.2,20,600,0.34285714285714364,0.03511238432688577,0.33684060471251553,0.35755222181322593
sobol,1.0,0.5,8,600,0.8571428571428583,0.20235145941917188,0.7806605503006669,0.9588418961720468
sobol,1.0,0.5,12,600,0.8571428571428583,0.14182355365522442,0.8057130991616286,0.8746056623987378
sobol,1.0,0.5,20,600,0.8571428571428583,0.0877809608172144,0.8421015117812891,0.8938805545330639
trajectory,0.25,0.0,8,600,7.570711667007542e-16,3.241585071624182e-15,2.799058977945246e-15,1.4017981387392173e-14
trajectory,0.25,0.0,12,600,8.396458368259973e-16,2.299559247891609e-15,1.8881937190123558e-15,5.77935862590685e-15
trajectory,0.25,0.0,20,600,8.396458368259973e-16,1.9889535294012686e-15,1.5335747455871872e-15,5.7109338842037735e-15
trajectory,0.25,0.05,8,600,0.006195019547643002,0.004973404331841901,0.008386448774876905,0.01994113503681247
trajectory,0.25,0.05,12,600,0.005877054270039712,0.0038123425164577054,0.007307913344904379,0.014295567010447992
trajectory,0.25,0.05,20,600,0.005877054270039712,0.003491056412627545,0.006938723955800803,0.012295279113392815
trajectory,0.25,0.2,8,600,0.02493154295508686,0.01995921033757967,0.03354579509947656,0.07976454014724076
trajectory,0.25,0.2,12,600,0.023512867742695495,0.015197778022060278,0.02923165337961741,0.05718226804179198
trajectory,0.25,0.2,20,600,0.023512867742695495,0.014022128681304157,0.027754895823202206,0.049181116453574925
trajectory,0.25,0.5,8,600,0.06219063399549372,0.050056217166941204,0.08386448774868287,0.19941135036809463
trajectory,0.25,0.5,12,600,0.058647430783954804,0.037977586781817396,0.07307913344904074,0.1429556701044795
trajectory,0.25,0.5,20,600,0.058647430783954804,0.03497807754939561,0.0693872395580053,0.12295279113393069
trajectory,0.5,0.0,8,600,7.364386412590295e-16,2.415143800650344e-15,2.200931392870476e-15,8.17272686430057e-15
trajectory,0.5,0.0,12,600,7.651944051115078e-16,1.7676619421636735e-15,1.388881471572959e-15,4.589130725616096e-15
trajectory,0.5,0.0,20,600,7.651944051115078e-16,1.486680725325001e-15,1.1608215114381604e-15,3.5156295374534166e-15
trajectory,0.5,0.05,8,600,0.02471651665255473,0.0198656035073539,0.03354579509946998,0.07976454014723655
trajectory,0.5,0.05,12,600,0.023393492180103538,0.015145093791562645,0.029231653379614822,0.057182268041790794
trajectory,0.5,0.05,20,600,0.023393492180103538,0.013923928659596208,0.02775489582320223,0.049181116453570914
trajectory,0.5,0.2,8,600,0.09867249257433003,0.07997203368683534,0.13418318039787083,0.31905816058894365
trajectory,0.5,0.2,12,600,0.09358892968193322,0.06075815509222418,0.11692661351846373,0.22872907216716692
trajectory,0.5,0.2,20,600,0.09358892968193322,0.0557416276089661,0.11101958329280781,0.19672446581428346
trajectory,0.5,0.5,8,600,0.24804187603948286,0.19898209103445905,0.3354579509946718,0.7976454014723573
trajectory,0.5,0.5,12,600,0.23434784146341658,0.15184915469431562,0.2923165337961612,0.5718226804179134
trajectory,0.5,0.5,20,600,0.23434784146341658,0.13950115709518354,0.27754895823201925,0.49181116453570844
trajectory,1.0,0.0,8,600,1.238164140582017e-15,1.914933579556559e-15,1.4155343563970744e-15,5.0901047403661564e-15
trajectory,1.0,0.0,12,600,1.0395727431446411e-15,1.6337217576687424e-15,9.900650593534966e-16,2.9596899652010733e-15
trajectory,1.0,0.0,20,600,1.0395727431446411e-15,1.5711729936672044e-15,1.0129486339939482e-15,2.9148762227467818e-15
trajectory,1.0,0.05,8,600,0.09931978142939372,0.0792879100995465,0.13418318039786578,0.31905816058894515
trajectory,1.0,0.05,12,600,0.09406085334022649,0.06049736549501554,0.11692661351846523,0.2287290721671681
trajectory,1.0,0.05,20,600,0.09406085334022649,0.05605265925333243,0.1110195832928062,0.196724465814283
trajectory,1.0,0.2,8,600,0.3971038702812419,0.31945939078312324,0.536732721591467,1.2762326423557726
trajectory,1.0,0.2,12,600,0.3763894065490395,0.24117984778861612,0.46770645407386036,0.9149162886686623
trajectory,1.0,0.2,20,600,0.3763894065490395,0.22362142516289935,0.4440783331712277,0.786897863257133
trajectory,1.0,0.5,8,600,0.9960387569254796,0.7928440159312186,1.341831803978669,3.1905816058894283
trajectory,1.0,0.5,12,600,0.941223019199569,0.6050124206288425,1.169266135184651,2.2872907216716536
trajectory,1.0,0.5,20,600,0.941223019199569,0.5559755496717322,1.110195832928071,1.9672446581428287
uniform,0.25,0.0,8,600,5.416973718779238e-16,3.0523787864133377e-15,2.8969804727455916e-15,8.401867600553024e-15
uniform,0.25,0.0,12,600,5.416973718779238e-16,1.3758887863223598e-15,1.2047265604514848e-15,3.44946397343467e-15
uniform,0.25,0.0,20,600,5.416973718779238e-16,1.110743702414835e-15,9.146163403915364e-16,3.1526754219412362e-15
uniform,0.25,0.05,8,600,0.005357142857142559,0.0018935754933855548,0.005366747807807708,0.007834682480263231
uniform,0.25,0.05,12,600,0.005357142857142559,0.0010691254866409855,0.005256542459266072,0.006160196208509943
uniform,0.25,0.05,20,600,0.005357142857142559,0.0006907901029340356,0.0051674820908652365,0.0058873757823099775
uniform,0.25,0.2,8,600,0.02142857142857121,0.007574301973545754,0.021466991231231244,0.03133872992104169
uniform,0.25,0.2,12,600,0.02142857142857121,0.00427650194655832,0.021026169837063048,0.024640784834035166
uniform,0.25,0.2,20,600,0.02142857142857121,0.0027631604117367235,0.02066992836345698,0.023549503129235896
uniform,0.25,0.5,8,600,0.053571428571428506,0.01893575493386508,0.05366747807807839,0.07834682480259143
