relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.05,0.1,0.8,0.1,0.005753968253968254,0.08275862068965517,0.14656358747231887,30
0.05,0.1,0.8,0.2,0.015833333333333335,0.13784461152882205,0.1871353196772191,40
0.05,0.1,0.8,0.3,0.023333333333333334,0.272108843537415,0.33204918149567597,45
0.05,0.1,0.8,0.5,0.03301587301587302,0.4362980769230769,0.493848243409882,46
0.05,0.1,0.9,0.1,0.005634920634920635,0.08450704225352113,0.15384615384615385,30
0.05,0.1,0.9,0.2,0.015119047619047619,0.14173228346456693,0.19428571428571428,40
0.05,0.1,0.9,0.3,0.0225,0.2786596119929453,0.34105653021442495,45
0.05,0.1,0.9,0.5,0.032103174603174606,0.4437577255871446,0.5028437072053091,46
0.05,0.1,0.95,0.1,0.005595238095238095,0.0851063829787234,0.15323118279569892,30
0.05,0.1,0.95,0.2,0.01496031746031746,0.14058355437665782,0.19506473953628425,40
0.05,0.1,0.95,0.3,0.0223015873015873,0.2793594306049822,0.3395357514751822,45
0.05,0.1,0.95,0.5,0.031746031746031744,0.44375,0.501725112020261,46
0.05,0.2,0.8,0.05,0.0015476190476190477,0.15384615384615385,0.3170731707317073,22
0.05,0.2,0.8,0.1,0.01138888888888889,0.09059233449477352,0.13656098076516593,41
0.05,0.2,0.8,0.2,0.03349206349206349,0.18127962085308058,0.22601887667431173,48
0.05,0.2,0.8,0.3,0.051626984126984125,0.31744811683320523,0.36003225882966866,50
0.05,0.2,0.8,0.5,0.07246031746031746,0.4600219058050383,0.5003106282602614,50
0.05,0.2,0.9,0.05,0.001507936507936508,0.15789473684210525,0.3125,21
0.05,0.2,0.9,0.1,0.01115079365079365,0.09252669039145907,0.14068441064638784,40
0.05,0.2,0.9,0.2,0.0323015873015873,0.18673218673218672,0.22984990019532436,48
0.05,0.2,0.9,0.3,0.04988095238095238,0.324582338902148,0.3703102109278218,50
0.05,0.2,0.9,0.5,0.07031746031746032,0.4683972911963883,0.5106136759102935,50
0.05,0.2,0.95,0.05,0.001507936507936508,0.15789473684210525,0.32148617511520733,21
0.05,0.2,0.95,0.1,0.011031746031746031,0.09352517985611511,0.14285714285714285,40
0.05,0.2,0.95,0.2,0.031825396825396826,0.1882793017456359,0.2342068253021959,47
0.05,0.2,0.95,0.3,0.04908730158730159,0.3290218270008084,0.37488171126654285,50
0.05,0.2,0.95,0.5,0.06908730158730159,0.47386559448592763,0.5168482000953591,50
0.05,0.3,0.8,0.05,0.0015873015873015873,0.175,0.32432432432432434,22
0.05,0.3,0.8,0.1,0.011468253968253968,0.09688581314878893,0.14392307436587878,41
0.05,0.3,0.8,0.2,0.034523809523809526,0.19885057471264367,0.24575801813758016,49
0.05,0.3,0.8,0.3,0.05472222222222222,0.34807831762146485,0.39398683087709585,50
0.05,0.3,0.8,0.5,0.07694444444444444,0.4847859721505931,0.5292108344418579,50
0.05,0.3,0.9,0.05,0.0015476190476190477,0.1794871794871795,0.3333333333333333,21
0.05,0.3,0.9,0.1,0.01123015873015873,0.0989399293286219,0.14984527687296417,40
0.05,0.3,0.9,0.2,0.03333333333333333,0.20476190476190476,0.2562512384412153,49
0.05,0.3,0.9,0.3,0.052976190476190475,0.35580524344569286,0.40560340080971663,50
0.05,0.3,0.9,0.5,0.0748015873015873,0.493368700265252,0.5374305555555556,50
0.05,0.3,0.95,0.05,0.0015476190476190477,0.1794871794871795,0.3333333333333333,21
0.05,0.3,0.95,0.1,0.011111111111111112,0.1,0.15319475014265915,40
0.05,0.3,0.95,0.2,0.032857142857142856,0.20652173913043478,0.258066695727986,48
0.05,0.3,0.95,0.3,0.052182539682539685,0.36045627376425854,0.4103771608171818,50
0.05,0.3,0.95,0.5,0.07357142857142857,0.4989212513484358,0.5436338990445103,50
0.05,0.5,0.8,0.05,0.0015873015873015873,0.175,0.3225806451612903,22
0.05,0.5,0.8,0.1,0.011468253968253968,0.09688581314878893,0.1480324074074074,41
0.05,0.5,0.8,0.2,0.034523809523809526,0.19885057471264367,0.2460422974584824,49
0.05,0.5,0.8,0.3,0.05472222222222222,0.34807831762146485,0.39421327255977323,50
0.05,0.5,0.8,0.5,0.07694444444444444,0.4847859721505931,0.5265707907225622,50
0.05,0.5,0.9,0.05,0.0015476190476190477,0.1794871794871795,0.333687943262411,21
0.05,0.5,0.9,0.1,0.01123015873015873,0.0989399293286219,0.1488121675360223,40
0.05,0.5,0.9,0.2,0.03333333333333333,0.20476190476190476,0.2556422569027611,49
0.05,0.5,0.9,0.3,0.052976190476190475,0.35580524344569286,0.40701510139926206,50
0.05,0.5,0.9,0.5,0.0748015873015873,0.493368700265252,0.5371827758202535,50
