split,method,family,n_outer,rho_inner,total,intrinsic_accepted,coverage,selective_risk,risk_ucb95,scale_dependent_truth_count,scale_dependent_detection,unidentifiable_rate
holdout,Outer-More,axis_quartic,8,0.25,5400,0,0.0,nan,nan,3593,0.0,1.0
holdout,Outer-More,axis_quartic,8,0.5,5400,0,0.0,nan,nan,2208,0.0,1.0
holdout,Outer-More,axis_quartic,12,0.25,5400,0,0.0,nan,nan,3593,0.0,1.0
holdout,Outer-More,axis_quartic,12,0.5,5400,0,0.0,nan,nan,2208,0.0,1.0
holdout,Outer-More,cross_quartic,8,0.25,5400,0,0.0,nan,nan,1886,0.0,1.0
holdout,Outer-More,cross_quartic,8,0.5,5400,0,0.0,nan,nan,1894,0.0,1.0
holdout,Outer-More,cross_quartic,12,0.25,5400,0,0.0,nan,nan,1886,0.0,1.0
holdout,Outer-More,cross_quartic,12,0.5,5400,0,0.0,nan,nan,1894,0.0,1.0
holdout,Outer-More,quadratic,8,0.25,1800,0,0.0,nan,nan,0,nan,1.0
holdout,Outer-More,quadratic,8,0.5,1800,0,0.0,nan,nan,0,nan,1.0
holdout,Outer-More,quadratic,12,0.25,1800,0,0.0,nan,nan,0,nan,1.0
holdout,Outer-More,quadratic,12,0.5,1800,0,0.0,nan,nan,0,nan,1.0
holdout,Random-Inner,axis_quartic,8,0.25,5400,1,0.00018518518518518518,1.0,1.0,3593,0.0128026718619538,0.9859259259259259
holdout,Random-Inner,axis_quartic,8,0.5,5400,62,0.011481481481481481,0.1935483870967742,0.3019087318999561,2208,0.18885869565217392,0.8272222222222222
holdout,Random-Inner,axis_quartic,12,0.25,5400,1,0.00018518518518518518,1.0,1.0,3593,0.0128026718619538,0.9859259259259259
holdout,Random-Inner,axis_quartic,12,0.5,5400,71,0.013148148148148148,0.15492957746478872,0.26744186046511625,2208,0.19067028985507245,0.8261111111111111
holdout,Random-Inner,cross_quartic,8,0.25,5400,0,0.0,nan,nan,1886,0.016436903499469777,0.9844444444444445
holdout,Random-Inner,cross_quartic,8,0.5,5400,81,0.015,0.12345679012345678,0.19753086419753085,1894,0.14994720168954592,0.84
holdout,Random-Inner,cross_quartic,12,0.25,5400,0,0.0,nan,nan,1886,0.016436903499469777,0.9844444444444445
holdout,Random-Inner,cross_quartic,12,0.5,5400,99,0.018333333333333333,0.1111111111111111,0.1797752808988764,1894,0.1494192185850053,0.8396296296296296
holdout,Random-Inner,quadratic,8,0.25,1800,0,0.0,nan,nan,0,nan,0.975
holdout,Random-Inner,quadratic,8,0.5,1800,35,0.019444444444444445,0.0,0.0,0,nan,0.8544444444444445
holdout,Random-Inner,quadratic,12,0.25,1800,0,0.0,nan,nan,0,nan,0.975
holdout,Random-Inner,quadratic,12,0.5,1800,46,0.025555555555555557,0.0,0.0,0,nan,0.8516666666666667
holdout,Residual-Only,axis_quartic,8,0.25,5400,0,0.0,nan,nan,3593,0.0,1.0
holdout,Residual-Only,axis_quartic,8,0.5,5400,0,0.0,nan,nan,2208,0.0,1.0
holdout,Residual-Only,axis_quartic,12,0.25,5400,0,0.0,nan,nan,3593,0.0,1.0
holdout,Residual-Only,axis_quartic,12,0.5,5400,0,0.0,nan,nan,2208,0.0,1.0
holdout,Residual-Only,cross_quartic,8,0.25,5400,0,0.0,nan,nan,1886,0.0,1.0
holdout,Residual-Only,cross_quartic,8,0.5,5400,0,0.0,nan,nan,1894,0.0,1.0
holdout,Residual-Only,cross_quartic,12,0.25,5400,0,0.0,nan,nan,1886,0.0,1.0
holdout,Residual-Only,cross_quartic,12,0.5,5400,0,0.0,nan,nan,1894,0.0,1.0
holdout,Residual-Only,quadratic,8,0.25,1800,0,0.0,nan,nan,0,nan,1.0
holdout,Residual-Only,quadratic,8,0.5,1800,0,0.0,nan,nan,0,nan,1.0
holdout,Residual-Only,quadratic,12,0.25,1800,0,0.0,nan,nan,0,nan,1.0
holdout,Residual-Only,quadratic,12,0.5,1800,0,0.0,nan,nan,0,nan,1.0
holdout,Structured-Two-Scale,axis_quartic,8,0.25,5400,1,0.00018518518518518518,1.0,1.0,3593,0.03590314500417478,0.9633333333333334
holdout,Structured-Two-Scale,axis_quartic,8,0.5,5400,138,0.025555555555555557,0.21014492753623187,0.2845528455284553,2208,0.4447463768115942,0.5964814814814815
holdout,Structured-Two-Scale,axis_quartic,12,0.25,5400,4,0.0007407407407407407,0.5,1.0,3593,0.035346507097133315,0.9635185185185186
holdout,Structured-Two-Scale,axis_quartic,12,0.5,5400,177,0.03277777777777778,0.15254237288135594,0.21250718390804596,2208,0.4447463768115942,0.5968518518518519
holdout,Structured-Two-Scale,cross_quartic,8,0.25,5400,3,0.0005555555555555556,0.6666666666666666,1.0,1886,0.029692470837751856,0.9661111111111111
holdout,Structured-Two-Scale,cross_quartic,8,0.5,5400,207,0.03833333333333333,0.09178743961352658,0.12698412698412698,1894,0.3130939809926082,0.672037037037037
