split,method,family,total,coverage,selective_risk,risk_ucb95,scale_detection,outer_projection_bias_median,inner_projection_bias_median,projection_drift_median
holdout,Oracle-Scale,axis_quartic,21600,0.322037037037037,0.0,0.0,1.0,0.34285714285690094,0.05651041666662727,0.26151243656396916
holdout,Oracle-Scale,cross_quartic,21600,0.6322222222222222,0.0,0.0,1.0,0.1333333333332396,0.0009114583333325258,0.12729106372557386
holdout,Oracle-Scale,quadratic,7200,1.0,0.0,0.0,nan,5.447742944555824e-16,1.0388170873423567e-15,1.2209063126267414e-15
holdout,Outer-More,axis_quartic,21600,0.0,nan,nan,0.0,0.34285714285690094,0.05651041666662727,0.26151243656396916
holdout,Outer-More,cross_quartic,21600,0.0,nan,nan,0.0,0.1333333333332396,0.0009114583333325258,0.12729106372557386
holdout,Outer-More,quadratic,7200,0.0,nan,nan,nan,5.447742944555824e-16,1.0388170873423567e-15,1.2209063126267414e-15
holdout,Random-Inner,axis_quartic,21600,0.0006018518518518519,0.07692307692307693,0.4,0.06603387052717836,0.34285714285690094,0.05651041666662727,0.26151243656396916
holdout,Random-Inner,cross_quartic,21600,0.0018055555555555555,0.10256410256410256,0.21052631578947367,0.05903826787512588,0.1333333333332396,0.0009114583333325258,0.12729106372557386
holdout,Random-Inner,quadratic,7200,0.0020833333333333333,0.0,0.0,nan,5.447742944555824e-16,1.0388170873423567e-15,1.2209063126267414e-15
holdout,Residual-Only,axis_quartic,21600,0.0,nan,nan,0.0,0.34285714285690094,0.05651041666662727,0.26151243656396916
holdout,Residual-Only,cross_quartic,21600,0.0,nan,nan,0.0,0.1333333333332396,0.0009114583333325258,0.12729106372557386
holdout,Residual-Only,quadratic,7200,0.0,nan,nan,nan,5.447742944555824e-16,1.0388170873423567e-15,1.2209063126267414e-15
holdout,Structured-Two-Scale,axis_quartic,21600,0.0023148148148148147,0.08,0.16216216216216217,0.18239552034963125,0.34285714285690094,0.05651041666662727,0.26151243656396916
holdout,Structured-Two-Scale,cross_quartic,21600,0.0030555555555555557,0.06060606060606061,0.11290322580645161,0.13217522658610273,0.1333333333332396,0.0009114583333325258,0.12729106372557386
holdout,Structured-Two-Scale,quadratic,7200,0.005,0.0,0.0,nan,5.447742944555824e-16,1.0388170873423567e-15,1.2209063126267414e-15
unseen,Oracle-Scale,cubic,14400,0.8858333333333334,0.0,0.0,1.0,6.54856517179753e-16,1.0018536230628764e-15,1.606673735618292e-15
unseen,Oracle-Scale,oscillatory,14400,0.0009722222222222222,0.0,0.0,1.0,0.7157573129117443,0.2145268200629868,0.7765030250030858
unseen,Oracle-Scale,rotated_quartic,21600,0.35314814814814816,0.0,0.0,1.0,0.3035095233958513,0.026915153570925564,0.23372846374235093
unseen,Outer-More,cubic,14400,0.0,nan,nan,0.0,6.54856517179753e-16,1.0018536230628764e-15,1.606673735618292e-15
unseen,Outer-More,oscillatory,14400,0.0,nan,nan,0.0,0.7157573129117443,0.2145268200629868,0.7765030250030858
unseen,Outer-More,rotated_quartic,21600,0.0,nan,nan,0.0,0.3035095233958513,0.026915153570925564,0.23372846374235093
unseen,Random-Inner,cubic,14400,0.0015972222222222223,0.0,0.0,0.026155717761557177,6.54856517179753e-16,1.0018536230628764e-15,1.606673735618292e-15
unseen,Random-Inner,oscillatory,14400,6.944444444444444e-05,1.0,1.0,0.03927429445294036,0.7157573129117443,0.2145268200629868,0.7765030250030858
unseen,Random-Inner,rotated_quartic,21600,0.00037037037037037035,0.375,0.8333333333333334,0.06377039793873461,0.3035095233958513,0.026915153570925564,0.23372846374235093
unseen,Residual-Only,cubic,14400,0.0,nan,nan,0.0,6.54856517179753e-16,1.0018536230628764e-15,1.606673735618292e-15
unseen,Residual-Only,oscillatory,14400,0.0,nan,nan,0.0,0.7157573129117443,0.2145268200629868,0.7765030250030858
unseen,Residual-Only,rotated_quartic,21600,0.0,nan,nan,0.0,0.3035095233958513,0.026915153570925564,0.23372846374235093
unseen,Structured-Two-Scale,cubic,14400,0.005069444444444444,0.0,0.0,0.057177615571776155,6.54856517179753e-16,1.0018536230628764e-15,1.606673735618292e-15
unseen,Structured-Two-Scale,oscillatory,14400,6.944444444444444e-05,1.0,1.0,0.05289865146670374,0.7157573129117443,0.2145268200629868,0.7765030250030858
unseen,Structured-Two-Scale,rotated_quartic,21600,0.002638888888888889,0.24561403508771928,0.39622641509433965,0.15953335241912397,0.3035095233958513,0.026915153570925564,0.23372846374235093
