split,method,total,mean_budget,coverage,selective_risk,risk_ucb95,scale_detection,unidentifiable_rate,outer_reliable_rate,inner_reliable_rate
holdout,Oracle-Scale,50400,18.0,0.5518253968253968,0.0,0.0,1.0,0.0,0.41634920634920636,0.19392857142857142
holdout,Outer-More,50400,18.0,0.0,nan,nan,0.0,1.0,0.5569246031746031,0.0
holdout,Random-Inner,50400,18.0,0.0013293650793650793,0.07462686567164178,0.1527777777777778,0.06357357889144678,0.9339880952380952,0.41634920634920636,0.12857142857142856
holdout,Residual-Only,50400,10.0,0.0,nan,nan,0.0,1.0,0.41634920634920636,0.0
holdout,Structured-Two-Scale,50400,18.0,0.003015873015873016,0.05263157894736842,0.0873015873015873,0.16473348680715424,0.8393253968253969,0.41634920634920636,0.19392857142857142
unseen,Oracle-Scale,50400,18.0,0.4047222222222222,0.0,0.0,1.0,0.0,0.3320238095238095,0.22714285714285715
unseen,Outer-More,50400,18.0,0.0,nan,nan,0.0,1.0,0.4347420634920635,0.0
unseen,Random-Inner,50400,18.0,0.0006349206349206349,0.125,0.2608695652173913,0.049963335777614824,0.9436507936507936,0.3320238095238095,0.15904761904761905
unseen,Residual-Only,50400,10.0,0.0,nan,nan,0.0,1.0,0.3320238095238095,0.0
unseen,Structured-Two-Scale,50400,18.0,0.0025992063492063493,0.11450381679389313,0.18699479440837571,0.1027931471235251,0.8775396825396825,0.3320238095238095,0.22714285714285715
