relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.05,0.1,0.8,0.1,0.0022222222222222222,0.07142857142857142,0.17647058823529413,22
0.05,0.1,0.8,0.2,0.0075,0.08994708994708994,0.14037037037037034,39
0.05,0.1,0.8,0.3,0.009484126984126984,0.19665271966527198,0.26601581121881457,41
0.05,0.1,0.8,0.5,0.011111111111111112,0.3142857142857143,0.39523903632599283,44
0.05,0.1,0.9,0.1,0.0021825396825396826,0.07272727272727272,0.18522825150732122,22
0.05,0.1,0.9,0.2,0.0074206349206349205,0.09090909090909091,0.14423572561459158,39
0.05,0.1,0.9,0.3,0.009404761904761905,0.19831223628691982,0.26843989343989344,41
0.05,0.1,0.9,0.5,0.011031746031746031,0.31654676258992803,0.40298791215027524,44
0.05,0.1,0.95,0.1,0.0021825396825396826,0.07272727272727272,0.18645197740112993,22
0.05,0.1,0.95,0.2,0.0074206349206349205,0.09090909090909091,0.14207927658039998,39
0.05,0.1,0.95,0.3,0.009365079365079364,0.19491525423728814,0.26071846699493817,41
0.05,0.1,0.95,0.5,0.010992063492063492,0.3140794223826715,0.4013204225352113,44
0.05,0.2,0.8,0.1,0.006349206349206349,0.10625,0.17752794214332673,38
0.05,0.2,0.8,0.2,0.02123015873015873,0.18878504672897195,0.2368683001531393,49
0.05,0.2,0.8,0.3,0.03115079365079365,0.3503184713375796,0.3919397193488666,49
0.05,0.2,0.8,0.5,0.04,0.4742063492063492,0.5170731707317073,50
0.05,0.2,0.9,0.1,0.00623015873015873,0.10828025477707007,0.18421787709497206,38
0.05,0.2,0.9,0.2,0.020793650793650795,0.1851145038167939,0.23217675065532553,48
0.05,0.2,0.9,0.3,0.030515873015873017,0.34850455136540964,0.3889011257953989,49
0.05,0.2,0.9,0.5,0.03916666666666667,0.47213779128672745,0.5116635673845626,50
0.05,0.2,0.95,0.1,0.006190476190476191,0.10897435897435898,0.18241329739442944,38
0.05,0.2,0.95,0.2,0.020555555555555556,0.18532818532818532,0.23150418525181335,48
0.05,0.2,0.95,0.3,0.03,0.34523809523809523,0.387459487690115,49
0.05,0.2,0.95,0.5,0.03861111111111111,0.47070914696813976,0.5119170984455959,50
0.05,0.3,0.8,0.1,0.0064682539682539685,0.11042944785276074,0.18025318829707423,38
0.05,0.3,0.8,0.2,0.0223015873015873,0.20640569395017794,0.2575321304992585,49
0.05,0.3,0.8,0.3,0.03380952380952381,0.3779342723004695,0.4214815312334135,49
0.05,0.3,0.8,0.5,0.044682539682539685,0.5115452930728241,0.5560650103250051,50
0.05,0.3,0.9,0.1,0.006309523809523809,0.11320754716981132,0.18518518518518517,38
0.05,0.3,0.9,0.2,0.021785714285714287,0.2040072859744991,0.25641301945181255,48
0.05,0.3,0.9,0.3,0.033095238095238094,0.3776978417266187,0.42028177150094725,49
0.05,0.3,0.9,0.5,0.04376984126984127,0.5113327289211242,0.5578308974941127,50
0.05,0.3,0.95,0.1,0.00626984126984127,0.11392405063291139,0.18705268043629614,38
0.05,0.3,0.95,0.2,0.021507936507936507,0.2029520295202952,0.25253535353535356,48
0.05,0.3,0.95,0.3,0.03253968253968254,0.374390243902439,0.4212615815556992,49
0.05,0.3,0.95,0.5,0.04317460317460318,0.5101102941176471,0.5546394474019974,50
0.05,0.5,0.8,0.1,0.006587301587301587,0.10843373493975904,0.1768813775510204,38
0.05,0.5,0.8,0.2,0.02257936507936508,0.20738137082601055,0.25539036969702894,49
0.05,0.5,0.8,0.3,0.03428571428571429,0.38078703703703703,0.4234310087289362,49
0.05,0.5,0.8,0.5,0.04535714285714286,0.5135608048993876,0.5551547944610843,50
0.05,0.5,0.9,0.1,0.006388888888888889,0.11180124223602485,0.1807909604519774,38
0.05,0.5,0.9,0.2,0.021984126984126984,0.20577617328519857,0.253498219388561,48
0.05,0.5,0.9,0.3,0.03349206349206349,0.3815165876777251,0.42421305874239856,49
0.05,0.5,0.9,0.5,0.04428571428571428,0.514336917562724,0.5618894166910556,50
0.05,0.5,0.95,0.1,0.006349206349206349,0.1125,0.1834375702194592,38
0.05,0.5,0.95,0.2,0.021666666666666667,0.20512820512820512,0.25847945183077403,48
0.05,0.5,0.95,0.3,0.032896825396825397,0.37876960193003617,0.4216097099130518,49
0.05,0.5,0.95,0.5,0.04365079365079365,0.5136363636363637,0.5583880257705506,50
0.1,0.1,0.8,0.1,0.002341269841269841,0.06779661016949153,0.1702127659574468,22
